user_name	account_type	first_name	last_name	email	phone_number	password	employee_id	credit_card_number	credit_card_exp_date	billing_address	reward_points	order_history
gwarner653	customer	Gwion	Warner	gwarner@mail.com	1640245578	zJk@rAvu4a		4562581857428221	0722	226 Panda St, Happy Town, HC 59999	30	4
rebradshaw835	admin	Reagan	Bradshaw	rebradshaw@mail.com	1310203767	A8PtieR$iz	FV1001					
ebarrett535	admin	Edan	Barrett	ebarrett@mail.com	2297172631	$9r6Z9b6dm	FV1002					
rbarber894	admin	Ryley	Barber	rbarber@mail.com	4711065047	eYZYw9sw6j	FV1003					
gholder487	customer	Guto	Holder	gholder@mail.com	5846954541	$eY6WF962K		1354112796179941	1122	374 Rabbit Ave, Happy Town, HC 59999	33	8
pstott885	customer	Peyton	Stott	pstott@mail.com	2979267044	GomSYyLQrl		1312857969871453	0828	590 Panda St, Happy Town, HC 59999	65	7
tmayo945	customer	Tyrese	Mayo	tmayo@mail.com	1129970910	nCM4I8TWoC		8948248297448683	0821	149 Alligator St, Happy Town, HC 59999	51	9
mpreston272	customer	Mcauley	Preston	mpreston@mail.com	5382696423	pW#1F8x$hX		4374441639879685	0927	457 Panda Ct, Happy Town, HC 59999	26	6
ccharlton329	admin	Caius	Charlton	ccharlton@mail.com	9499984867	4LFEAKSwgO	FV1004					
colson812	customer	Coral	Olson	colson@mail.com	2601656197	AXpm3K@Y5v		5535391441968563	0325	118 Rabbit Ln, Happy Town, HC 59999	66	5
